Nome	Código	CNPJ	Segmento B3	Partic. IFIX %
FII Hsi Log	HSLG11	32903621000171	Tradicional	-
FII Hsi Mall	HSML11	32892018000131	Tradicional	1,624
FII Hsirrenda	HSRE11	8098114000128	Tradicional	-
FII Htopfof3	HFOF11	18307582000119	Tradicional	2,437
FII Husi	HUSI11	30017492000199	Tradicional	-
FII Ifi-e	IFIE11	36293425000183	Tradicional	-
FII Indl BR	FIIB11	14217108000145	Tradicional	0,395
FII Infra Re	FINF11	18369510000104	Tradicional	-
FII Inter	BICR11	34007109000172	Tradicional	-
FII Iridium	IRDM11	28830325000110	Tradicional	2,639
FII Jfl Liv	JFLL11	36501181000187	Tradicional	-
FII JHSF Fbv	RBBV11	16915868000151	Tradicional	-
FII Jpp Capi	JPPC11	17216625000198	Tradicional	-
FII Jppmogno	JPPA11	30982880000100	Tradicional	-
FII Js Real	JSRE11	13371132000171	Tradicional	2,226
FII Jt Prev	JTPR11	23876086000116	Tradicional	-
FII Kii Real	KNRE11	14423780000197	Tradicional	-
FII Kilima	KISU11	36669660000107	Tradicional	-
FII Kinea	KNRI11	12005956000165	Tradicional	4,720
FII Kinea Hy	KNHY11	30130708000128	Tradicional	1,377
FII Kinea Ip	KNIP11	24960430000113	Tradicional	5,984
FII Kinea Ri	KNCR11	16706958000132	Tradicional	3,798
FII Kinea Sc	KNSC11	35864448000138	Tradicional	-
FII Kineafof	KFOF11	30091444000140	Tradicional	0,507
FII Lateres	LATR11B	17209378000100	Balcão Organizado	-
FII Legatus	LASC11	30248158000146	Tradicional	-
FII Lgcp Int	LGCP11	34598181000111	Tradicional	-
FII Loft I	LOFT13B	19722048000131	Balcão Organizado	-
FII Loft I	LOFT11B	19722048000131	Balcão Organizado	-
FII Loft II	LFTT11	24796967000190	Tradicional	-
FII Lourdes	NSLU11	8014513000163	Tradicional	-
FII Luggo	LUGG11	34835191000123	Tradicional	-
FII Mac	DMAC11	30579348000146	Tradicional	-
FII Malls Bp	MALL11	26499833000132	Tradicional	0,845
FII Maua	MCCI11	23648935000184	Tradicional	1,013
FII Max Ret	MAXR11	11274415000170	Tradicional	-
FII Maxi Ren	MXRF11	97521225000125	Tradicional	2,147
FII Memorial	FMOF11	1633741000172	Tradicional	-
FII Merc BR	MBRF11	13500306000159	Tradicional	-
FII Merito I	MFII11	16915968000188	Tradicional	0,467
FII Meritofa	MFAI11	32397369000176	Tradicional	-
FII Mint Edu	MINT11	19872887000136	Tradicional	-
FII Mogno	MGFF11	29216463000177	Tradicional	0,873
FII Mogno HG	MGCR11	35652204000191	Tradicional	-
FII Mogno Ht	MGHT11	34197776000165	Tradicional	-
FII More Re	MORE11	34197727000122	Tradicional	-
FII Mtgestao	DRIT11B	10456810000100	Balcão Organizado	-
FII Mult Ren	HBRH11	30871698000181	Tradicional	-
FII Multprop	PRTS11	22957521000174	Tradicional	-
FII Multshop	SHOP11	22459737000100	Tradicional	-
FII Nch Bra	NCHB11	18085673000157	Tradicional	-
FII Nestpar	NPAR11	24814916000143	Tradicional	-
FII Newport	NEWL11	32527626000147	Tradicional	-
FII Newru	NEWU11	14793782000178	Tradicional	-
FII Nova I	NVIF11B	22003469000117	Balcão Organizado	-
FII Novohori	NVHO11	17025970000144	Tradicional	-
FII Olimpia	VLOL11	15296696000112	Tradicional	-
FII Opportun	FTCE11B	1235622000161	Balcão Organizado	-
FII Ou Renda	OURE11	28516650000103	Tradicional	-
FII Ouri Fof	OUFF11	30791386000168	Tradicional	-
FII Ouri Jpp	OUJP11	26091656000150	Tradicional	0,368
FII Ourilog	OULG11	13974819000100	Tradicional	0,198
FII Ourinves	EDFO11B	6175262000173	Balcão Organizado	-
FII Ouro Prt	ORPD11	19107604000160	Tradicional	-
FII P Negra	FPNG11	17161979000182	Tradicional	-
FII P Vargas	PRSV11	11281322000172	Tradicional	-
FII Panamby	PABY11	613094000174	Tradicional	-
FII Parq Anh	PQAG11	12978943000172	Tradicional	-
FII Patr Log	PATL11	35754164000199	Tradicional	0,505
FII Patria	PATC11	30048651000112	Tradicional	0,329
FII Personal	PRSN11B	14056001000162	Balcão Organizado	-
FII Plural R	PLCR11	32527683000126	Tradicional	0,217
FII Polo Cri	PORD11	17156502000109	Tradicional	-
FII Polo I	PLRI11	14080689000116	Tradicional	-
FII Polo Sho	VPSI11	14721889000100	Tradicional	-
